"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động","Địa chỉ","Địa chỉ Thuế","Người đại diện","Điện thoại","Quản lý bởi","Loại hình DN","Ngành nghề chính"
"1","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động","Lô CN - 33 KCN Thuận Thành II, Phường Mão Điền, Tỉnh Bắc Ninh, Việt Nam","Lô CN - 33 KCN Thuận Thành II, Phường Mão Điền, Tỉnh Bắc Ninh, Việt Nam","PHAN THỊ HƯƠNG Ngoài ra, PHAN THỊ HƯƠNG còn đại diện các doanh nghiệp, đơn vị: CÔNG TY CỔ PHẦN DƯỢC PHẨM ĐÔNG ÂU CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT ĐÔNG ÂU","0919 841 926 Ẩn số điện thoại","Thuế tỉnh Bắc Ninh","Công ty cổ phần ngoài NN","Sản xuất sản phẩm từ plastic"
"2","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động","Số 68 đường Lê Văn Lương, Phường Thanh Xuân, Thành phố Hà Nội, Việt Nam","Số 68 đường Lê Văn Lương, Phường Thanh Xuân, TP Hà Nội, Việt Nam","LÊ CÔNG HOÀNG Ngoài ra, LÊ CÔNG HOÀNG còn đại diện các doanh nghiệp, đơn vị: Viện Nghiên cứu khoa học và Ứng dụng công nghệ ASEAN Lê Công Hoàng","045566688/04556999 Ẩn số điện thoại","Chi cục Thuế Thương mại điện tử","Công ty trách nhiệm hữu hạn ngoài NN","Đại lý, môi giới, đấu giá Chi tiết: Đại lý bán lẻ xăng dầu; Đại lý mua, bán, ký gửi hàng hoá;"
"3","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI AHUTI","0316870070","Đang hoạt động","80/4 đường số 8, Khu phố 7, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","80/4 đường số 8, Khu phố 7, Phường Hiệp Bình, TP Hồ Chí Minh, Việt Nam","LÊ THỊ ÁNH THƯ","0983 540 820 Ẩn số điện thoại","Thuế cơ sở 2 Thành phố Hồ Chí Minh","Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN","Bán buôn tổng hợp Chi tiết: Bán buôn các loại hạt nhựa, các loại hóa chất liên quan đến sản xuất gia công các loại nhựa, hạt nhựa, gỗ, giấy"
"4","CÔNG TY TNHH YUNCHENG PLATE MAKING (BẮC NINH)","2300998287","Đang hoạt động","RBF-T/U, khu RBF, số 31, đường 3, VSIP Bắc Ninh, Xã Đại Đồng, Tỉnh Bắc Ninh, Việt Nam","RBF-T/U, khu RBF, số 31, đường 3, VSIP Bắc Ninh, Xã Đại Đồng, Tỉnh Bắc Ninh, Việt Nam","WANG, GAOSHENG Ngoài ra, WANG, GAOSHENG còn đại diện các doanh nghiệp, đơn vị: CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC CÔNG TY TNHH VIỆT NAM DONGYUN PLATE MAKING CÔNG TY TNHH YUNCHENG PLATE MAKING (VIETNAM) CÔNG TY TNHH VIỆT NAM DONGYUN PLATE MAKING (Nộp hộ NTNN) Công ty TNHH Việt Nam Dong Yun Plate Making miền Bắc (Nộp thay)","0274-3757971 Ẩn số điện thoại","Thuế tỉnh Bắc Ninh","Công ty trách nhiệm hữu hạn ngoài NN","Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu Chi tiết: Sản xuất, thiết kế và gia công sản xuất các loại mực in hình ống đồng, sản xuất trục in dập nổi, sản xuất trục in gốm sứ và chế tạo các thiết bị chế bản in, thiết bị dùng"
"5","CÔNG TY CỔ PHẦN XĂNG DẦU HFC","0100108159","Đang hoạt động","Số 233 Phố Khâm Thiên, Phường Thổ Quan, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","Số 233 Phố Khâm Thiên, Phường Văn Miếu - Quốc Tử Giám, TP Hà Nội, Việt Nam","NGUYỄN HỮU YÊN Ngoài ra, NGUYỄN HỮU YÊN còn đại diện các doanh nghiệp, đơn vị: CHI NHÁNH CÔNG TY CỔ PHẦN XĂNG DẦU HFC TẠI HẢI PHÒNG Nguyễn Hữu Yên","02439780731 Ẩn số điện thoại","Thuế thành phố Hà Nội","Công ty cổ phần ngoài NN","Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan - Chi tiết: Bán buôn than đá và nhiên liệu rắn khác; Bán buôn dầu thô; Bán buôn xăng dầu và các sản phẩm liên quan: Bán buôn xăng dầu đã tinh chế: xăng, diesel, mazout, nhiên liệu máy bay, dầu đốt nóng, dầu hỏa; Bán buôn dầu nhờn, mỡ nhờn, các sản phẩm dầu mỏ đã tinh chế khác; Bán buôn khí đốt và các sản phẩm liên quan;"
"6","CÔNG TY CỔ PHẦN HT ALUMINIUM","0107090486","Đang hoạt động","Số nhà 2 ngõ 67B đường Lương Thế Vinh, Phường Trung Văn, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam","Số nhà 2 ngõ 67B đường Lương Thế Vinh, Phường Đại Mỗ, TP Hà Nội, Việt Nam","NGUYỄN THỊ THẢO Ngoài ra, NGUYỄN THỊ THẢO còn đại diện các doanh nghiệp, đơn vị: CÔNG TY TNHH VẬT LIỆU BAO BÌ NHỰA IFC","0243 2216579 Ẩn số điện thoại","Thuế cơ sở 8 thành phố Hà Nội","Công ty cổ phần ngoài NN","Quảng cáo Chi tiết: Thiết kế Quảng cáo"
"7","CÔNG TY CỔ PHẦN MISA","0101243150","Đang hoạt động","Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Cầu Giấy, Thành phố Hà Nội, Việt Nam","Tầng 9, tòa nhà Technosoft, phố Duy Tân, Phường Cầu Giấy, TP Hà Nội, Việt Nam","ĐINH THỊ THÚY Ngoài ra, ĐINH THỊ THÚY còn đại diện các doanh nghiệp, đơn vị: CÔNG TY CỔ PHẦN MISA MISA - Kiểm thử HĐĐT không mã MISA - Kiểm thử HĐĐT có mã Lữ Thành Long","0437959595 Ẩn số điện thoại","Thuế thành phố Hà Nội","Công ty cổ phần ngoài NN","Lập trình máy tính khác Dịch vụ thực hiện phần mềm. Chi tiết: Sản xuất phần mềm máy tính."
"8","CHI NHÁNH TẠI HÀ NỘI - CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI VÀ DỊCH VỤ VẬN TẢI HỒNG PHÁT","0103971652-001","Đang hoạt động","P5-P22 ngõ 121 Nguyễn An Ninh, Phường Tương Mai, Thành phố Hà Nội, Việt Nam","P5-P22 ngõ 121 Nguyễn An Ninh, Phường Tương Mai, TP Hà Nội, Việt Nam","NGUYỄN HOÀNG HOAN Ngoài ra, NGUYỄN HOÀNG HOAN còn đại diện các doanh nghiệp, đơn vị: CÔNG TY CP THỰC PHẨM VẠN ĐIỂM CÔNG TY CỔ PHẦN ĐẦU TƯ CHALO LOGISTIC","0918303688 Ẩn số điện thoại","Thuế cơ sở 13 thành phố Hà Nội","Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN","Bán buôn ô tô và xe có động cơ khác (Trừ bán buôn xe có động cơ đã qua sử dụng , qua đấu giá)"
"9","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU TRAN DUONG FORKLIFTS","0108431890","Đang hoạt động","Thôn 1, Xã Thạch Xá, Huyện Thạch Thất, Thành phố Hà Nội, Việt Nam","Thôn 1, Xã Tây Phương, TP Hà Nội, Việt Nam","PHÍ VĂN ĐƯỜNG Ngoài ra, PHÍ VĂN ĐƯỜNG còn đại diện các doanh nghiệp, đơn vị: HỘ KINH DOANH XE NÂNG TRẦM ĐƯỜNG","0981762468 Ẩn số điện thoại","Thuế cơ sở 22 thành phố Hà Nội","Công ty trách nhiệm hữu hạn ngoài NN","Bán buôn máy móc, thiết bị và phụ tùng máy khác"
"10","Không tìm thấy","0311072367","Không tồn tại / Lỗi tra cứu","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy"
